address,label,status,n_tx,n_sent,n_received,sent_ratio,n_counterparties,n_out_counterparties,n_in_counterparties,counterparty_ratio,repeat_counterparty_ratio,total_eth_sent,total_eth_received,mean_eth_sent,max_eth_sent,mean_eth_received,max_eth_received,net_eth_flow,value_concentration,zero_value_ratio,mean_gas_price_gwei,max_gas_price_gwei,std_gas_price_gwei,mean_gas_limit,failed_ratio,self_tx_ratio,first_block,last_block,lifetime_days,tx_per_active_day,mean_days_between_tx,min_days_between_tx,burstiness,degree,in_degree,out_degree,pagerank,clustering,community_size,neighbour_risk_ratio,n_labelled_neighbours
0xac0c6f22545e63388aa0969bb051d73cb416a196,0,ok,100,100.0,0.0,1.0,2.0,2.0,0.0,0.02,0.98,0.2826121727816962,0.0,0.0028261217278169,0.2826121727816962,0.0,0.0,-0.2826121727816962,1.0,0.99,20.205381502469997,27.221063327,1.1714557551859046,85522.8,0.0,0.0,4238200,4333901,22.726727364259187,4.400105584813032,0.2295629026692847,0.00165908685161,1.131675296176339,2.0,0.0,2.0,1.2536588509874642e-05,0.0,3798.0,0.0,0.0
0x3884eb0ae2a04bce65b5b0ca9c1bd069cbd52c66,1,ok,25,0.0,24.0,0.0,12.0,0.0,12.0,0.48,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.094,41.0,7.930930840702116,229647.8,0.0,0.0,5191009,7048862,314.77662235296157,0.0794213998902602,13.115692598040065,0.0005276555567979,1.6857785277315542,12.0,12.0,0.0,0.0001009623577446,0.0,165.0,0.0,0.0
0xe7b8f8729690c6518d2d581af4b3a6863bcdddae,0,ok,10,4.0,6.0,0.4,7.0,2.0,5.0,0.7,0.3,33.08381244918978,33.08520079218978,8.270953112297445,25.16,5.51420013203163,13.25999993,0.0013883430000021,0.7604927648118186,0.0,8.64,13.0,3.6008887791766075,47500.0,0.0,0.0,6964598,23152247,2422.941826424908,0.0041272142364041,269.2157584916564,0.0010001319453672,2.828379402937513,7.0,5.0,2.0,5.768247199188183e-05,0.0476190476190476,301.0,0.0,0.0
0x0af16719353eddc122eaf834638406c499197860,1,ok,3,1.0,2.0,0.3333333333333333,3.0,1.0,2.0,1.0,0.0,1.049139,1.05,1.049139,1.049139,0.525,0.55,0.000861,1.0,0.0,27.0,41.0,9.899494936611664,140333.33333333334,0.0,0.0,5077881,5141270,10.727343947407272,0.2796591602458202,5.363671973703636,0.0285999325938798,0.9946678445784723,3.0,2.0,1.0,3.447684386883675e-05,0.0,121.0,0.0,0.0
0x175f6dbf87215a6da7107977b4680bc3db31b2de,1,ok,32,21.0,11.0,0.65625,15.0,6.0,9.0,0.46875,0.53125,13.06748486875316,13.076682868753162,0.622261184226341,4.35,1.188789351704833,8.8,0.0091980000000013,0.3328873186914244,0.53125,27.4375,49.0,15.421043860582202,30625.0,0.0,0.0,5160742,12588141,1196.8860752876378,0.0267360450260979,38.60922823508509,0.0,5.363449360907674,15.0,9.0,6.0,9.024165957286545e-05,0.0,33.0,0.0,0.0
0x33a1de12b9eab1087faa0f9e4b1eb253d5ef7962,0,ok,22,19.0,3.0,0.8636363636363636,8.0,5.0,3.0,0.3636363636363636,0.6363636363636364,2.5995480000000004,2.117604,0.1368183157894737,1.0,0.705868,1.064518,-0.4819440000000003,0.3846822601467639,0.1363636363636363,33.07252386363636,133.0,32.41077570152339,606618.1818181818,0.0,0.0,6097215,6664928,94.04372615328818,0.2339337338052803,4.478272673966104,0.0008245481467909,2.6040755160323577,8.0,3.0,5.0,1.6611816329352437e-05,0.0,237.0,0.0,0.0
0xa802ca2ba78ef80feb34f057d34503663527f1f3,0,ok,76,48.0,28.0,0.631578947368421,16.0,8.0,10.0,0.2105263157894736,0.7894736842105263,39.880270434,39.92695886999999,0.830838967375,13.3,1.425962816785714,5.0,0.0466884359999966,0.3334982399883894,0.3815789473684211,22.743157894736843,41.0,10.614179221871874,53442.28947368421,0.0,0.0,4081074,6368501,418.2465651248147,0.1817109961855151,5.5766208683308625,0.0007223261120142,2.318706260457186,16.0,10.0,8.0,0.0001050019614268,0.0333333333333333,3798.0,0.0,0.0
0x858457daa7e087ad74cdeeceab8419079bc2ca03,1,ok,100,70.0,30.0,0.7,64.0,39.0,27.0,0.64,0.36,1195.2,904.938403650552,17.074285714285715,680.0,30.164613455018404,193.5,-290.2615963494479,0.5689424364123159,0.61,52.72,100.0,16.648171070721254,92557.71,0.11,0.0,4062781,4173903,26.7554407062961,3.737557571849974,0.2702569768312737,0.0,3.6730927117739833,64.0,27.0,39.0,0.0003129792220655,0.0,3798.0,0.0,0.0
0x0a78fa6dab70385dd46fbdd20da5d868eb43f904,1,ok,4,1.0,3.0,0.25,4.0,1.0,3.0,1.0,0.0,3.81478501,3.81520501,3.81478501,3.81478501,1.2717350033333332,1.81520501,0.0004199999999996,1.0,0.0,65.0,100.0,35.70714214271425,80250.0,0.0,0.0,4738116,4794007,9.678392880556208,0.4132917571507103,3.226130960185403,0.0960456458341192,1.2954397038248306,4.0,3.0,1.0,4.54469715483178e-05,0.0,5.0,0.0,0.0
0x0b1f025593acd090a6c9b754e6e46acf88e89646,1,ok,6,0.0,5.0,0.0,4.0,0.0,4.0,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.833333333333333,12.0,3.933474573735315,393509.3333333333,0.0,0.0,5128043,5929739,137.55226780689978,0.043619782470057,27.51045356137995,0.116430494815663,1.0885011668712357,4.0,4.0,0.0,1.5076443368810178e-05,0.0,165.0,0.0,0.0
