address,label,status,n_tx,n_sent,n_received,sent_ratio,n_counterparties,n_out_counterparties,n_in_counterparties,counterparty_ratio,repeat_counterparty_ratio,total_eth_sent,total_eth_received,mean_eth_sent,max_eth_sent,mean_eth_received,max_eth_received,net_eth_flow,value_concentration,zero_value_ratio,mean_gas_price_gwei,max_gas_price_gwei,std_gas_price_gwei,mean_gas_limit,failed_ratio,self_tx_ratio,first_block,last_block,lifetime_days,tx_per_active_day,mean_days_between_tx,min_days_between_tx,burstiness
0x8abe0a9b8a1c8a003354e61f3ed8befdeb7d2cec,1,ok,18,0.0,17.0,0.0,4.0,0.0,4.0,0.2222222222222222,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.277777777777779,56.0,14.409894577282481,257556.72222222222,0.1111111111111111,0.0,5858675,5911360,9.0448022571758,1.9900932588901532,0.5320471915985765,0.000343353980117374,3.1693743553919282
0xfb6e71e0800bccc0db8a9cf326fe3213ca1a0ea0,1,ok,10,0.0,9.0,0.0,5.0,0.0,5.0,0.5,0.4444444444444444,0.0,1.00104,0.0,0.0,0.11122666666666665,1.0,1.00104,0.0,0.4,2.1681596842,8.0,2.267438490447936,73703.2,0.1,0.0,5804231,24321722,2779.9433283895833,0.0035971956326868665,308.88259204328705,0.00027914110985067153,2.141825751170143
0x5ddd20ac4bacff3f148af4c8c24194a1c102cfe5,1,ok,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1e-15,0.0,0.0,1e-15,1e-15,1e-15,0.0,0.0,46.5166282,46.5166282,0.0,21000.0,0.0,0.0,14714554,14714554,0.0,1.0,0.0,0.0,0.0
0x19fb7020381fe9197bf841d5034d5467fe5a3c93,1,ok,89,0.0,88.0,0.0,11.0,0.0,11.0,0.12359550561797752,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.518539338786517,41.0,5.636231831203776,165822.52808988764,0.0,0.0,6554645,10126446,580.9300092852778,0.1532026209310435,6.601477378241793,0.0011459913877425371,2.3425496139904753
0xeef2a09be2a136bba76f04cf056e36947dbf0b0c,1,ok,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0x86ddf5b305b9081fb5208e903edeb013510997cd,1,ok,15,9.0,6.0,0.6,9.0,4.0,5.0,0.6,0.4,0.60699999,0.60883531,0.06744444333333334,0.54,0.10147255166666667,0.25987854,0.0018353199999999736,0.8896211019706936,0.3333333333333333,11.466666666666667,58.0,14.992738983328636,117381.13333333333,0.0,0.0,5426455,5571636,24.980303664814542,0.6004730847658958,1.7843074046296101,0.0,1.9719310645479269
0x03f034fb47965123ea4148e3147e2cfdc5b1f7a5,1,ok,54,33.0,21.0,0.6111111111111112,45.0,33.0,14.0,0.8333333333333334,0.16666666666666666,21.624015560000004,21.545363592357543,0.6552731987878789,6.99,1.0259696948741688,7.0,-0.07865196764246107,0.32325170968384187,0.0,25.219675925925927,93.0,18.37070738343141,23507.40740740741,0.0,0.0,5454648,10212822,781.2874229105562,0.06911668921897142,14.741272130387852,0.005068976387933449,4.075177582829871
0x3b5744c7f340e0d2dcf7a072a4c963b9a43c982b,1,ok,100,40.0,60.0,0.4,28.0,27.0,1.0,0.28,0.72,4.6507061328684385,4.26344327679651,0.11626765332171096,0.51,0.0710573879466085,0.0803624472896773,-0.3872628560719287,0.10966076665124504,0.0,4.3255,107.0,13.640321651266147,70000.0,0.0,0.0,5957540,6556489,100.00626913694596,0.9999373125605018,1.0101643347166258,0.001858624675207668,2.0653295138475967
0x2056d2e97cc9ad78cf527b382495a8b9704ce011,1,ok,17,11.0,6.0,0.6470588235294118,13.0,10.0,3.0,0.7647058823529411,0.23529411764705882,1.0767844523439813,1.0822407200000002,0.09788949566763466,0.2,0.18037345333333335,0.5,0.0054562676560188095,0.18573819445909825,0.0,20.352941176470587,41.0,8.34506671083608,37235.294117647056,0.0,0.0,5140791,5757022,105.7433842356503,0.16076655880537466,6.6089615147281435,0.0323628740730109,2.7620598445164966
0x259efb559a5d9ed64ccf44bd5188b325dc4738c8,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,0.498824,0.499034,0.498824,0.498824,0.499034,0.499034,0.00020999999999998797,1.0,0.0,16.5,23.0,6.5,21000.0,0.0,0.0,5484472,5484495,0.0038718285190838353,2.0,0.0038718285190838353,0.0038718285190838353,0.0
0x42a777e0f24390e7ed461a7af325526e53ac57d9,1,ok,3,2.0,1.0,0.6666666666666666,3.0,2.0,1.0,1.0,0.0,0.48941138,0.49,0.24470569,0.48476989,0.49,0.49,0.0005886199999999842,0.9905161788432463,0.0,22.333333333333332,51.0,20.33606539022619,21000.0,0.0,0.0,5786104,6336656,93.25290038407401,0.032170581157734676,46.626450192037005,0.0006867079629942223,0.9999852721371633
0x181c71726f12ce2514e8b93019eb22645a79f966,1,ok,75,47.0,28.0,0.6266666666666667,30.0,18.0,16.0,0.4,0.6,32.07875045035953,32.101367450359525,0.6825266053267984,9.0,1.1464774089414116,15.0,0.02261699999999678,0.2805595565178609,0.0,20.719152,51.0,7.436865158050758,25674.666666666668,0.0,0.0,4913810,5658707,127.40155746481484,0.5886898205362454,1.7216426684434438,0.001353842963774999,2.4038745347054005
0x5d840db230c397acc22ab28053d1a1ff7f14583e,1,ok,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0x4e790c545478029d20816a7212c46adde058d63e,1,ok,27,12.0,15.0,0.4444444444444444,23.0,11.0,12.0,0.8518518518518519,0.14814814814814814,16.956637650385613,16.96201365038561,1.4130531375321345,9.020745580385613,1.1308009100257075,5.0,0.005375999999998271,0.5319890515075358,0.0,28.77800925925926,119.00625,21.28970754810198,28074.074074074073,0.0,0.0,5542482,5726320,32.3343806740752,0.8350244982934788,1.2436300259259692,0.0015829666676344695,1.5013336645880195
0x7613a475b7fe61775f579bc148300c8171eccae9,1,ok,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0x6cf481c7090d88ca6f1fa3c9ffd0911ef5359808,1,ok,3,2.0,1.0,0.6666666666666666,3.0,2.0,1.0,1.0,0.0,0.24966302,0.25,0.12483151,0.23319159,0.25,0.25,0.00033697999999998673,0.9340253514517288,0.0,11.666666666666666,23.0,8.65383665716478,21000.0,0.0,0.0,5832987,5843493,1.8036384647201609,1.6633045140038405,0.9018192323600804,0.1588012164334456,0.8239101465846328
0x73bb594368ddb778972c6f30b41437c897419c37,1,ok,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.479544758,10.479544758,0.0,175000.0,0.0,0.0,5696566,5696566,0.0,1.0,0.0,0.0,0.0
0xea7380369af53598a55b4622909cd9633e0ae7fa,1,ok,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0xbc83d48dd0cd9c3f47bab6436defeb334b563f4c,1,ok,14,9.0,5.0,0.6428571428571429,10.0,6.0,4.0,0.7142857142857143,0.2857142857142857,0.98762,0.992,0.10973555555555556,0.45,0.1984,0.5,0.0043799999999999395,0.4556408335189648,0.0,23.071428571428573,41.0,5.750332732165353,25928.571428571428,0.0,0.0,5337055,5784942,77.40025535675939,0.18087795622210923,5.953865796673798,0.008266603703852054,1.4005654702144354
0xbca6294a6c80ee0f20173547b8d85d4948a0cb39,1,ok,45,18.0,27.0,0.4,28.0,13.0,17.0,0.6222222222222222,0.37777777777777777,18.739576526692158,18.749186019955907,1.041087584816231,5.0,0.6944142970354039,4.0,0.009609493263749158,0.26681499407834175,0.0,25.466666666666665,80.0,12.588530935383648,21844.444444444445,0.0,0.0,5347448,5782177,75.17600700810276,0.598595240568573,1.7085456138205173,0.0011783825937244628,1.3798890524946892
0xbeebe66b6a511dd2accbff7f258554dbe97f1294,1,ok,32,16.0,16.0,0.5,22.0,7.0,15.0,0.6875,0.3125,285.552731,285.56465899999995,17.8470456875,149.99979000000002,17.847791187499997,150.0,0.011927999999954864,0.5252962893217786,0.0,34.875,100.0,21.522880267287647,62156.25,0.0,0.0,4949294,5714121,130.93366077222205,0.24439857414258512,4.223666476523293,0.002356765184689451,1.9874038148874051
0xfe9b7db8d9d57e9ad9341bcf51b110ba5d27b48b,1,ok,11,7.0,4.0,0.6363636363636364,10.0,7.0,3.0,0.9090909090909091,0.09090909090909091,10.39170116,10.39315016,1.4845287371428573,7.01352469,2.59828754,8.29305016,0.0014489999999991454,0.6749159335909924,0.0,22.263389553,51.0,18.203704551564744,21000.0,0.0,0.0,5769306,15517741,1553.3722073597683,0.0070813678446690195,155.3372207359768,0.0005150309729355353,2.9978415476321296
0x08389b19ad52f0d983609ab785b3a43a0e90355f,1,ok,22,4.0,18.0,0.18181818181818182,16.0,4.0,12.0,0.7272727272727273,0.2727272727272727,17.07633249,17.07869749,4.2690831225,7.0,0.9488165272222222,4.985,0.0023650000000010607,0.409924086691287,0.0,33.63636363636363,50.0,17.158473799860403,33136.36363636364,0.0,0.0,5220842,5224407,0.6033062703714327,22.0,0.028728870017687265,0.0006769214791280252,0.9454964611150906
0x4114fb8b1879f61b18f7d2e623569a847a03e15a,1,ok,48,0.0,47.0,0.0,15.0,0.0,15.0,0.3125,0.6808510638297872,0.0,83.173,0.0,0.0,1.7696382978723404,21.2,83.173,0.0,0.4583333333333333,10.770833333333334,99.0,20.423882653376385,121843.45833333333,0.0,0.0,5509627,5968418,79.77539458213029,0.6016892834116049,1.6973488208963894,0.0,6.197841161993433
